name,entry,sentiment
koraidon,This seems to be the Winged King mentioned in an old expedition journal. It was said to have split the land with its bare fists.,neutral
xatu,They say that it stays still and quiet because it is seeing both the past and future at the same time.,neutral
ninjask,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible.",neutral
mantine,"As it majestically swims, it doesn't care if REMORAID attach to it for scavenging its leftovers.",neutral
bidoof,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears.",neutral
greninja,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two.",neutral
flabebe,It draws out and controls the hidden power of flowers. The flower Flabébé holds is most likely part of its body.,neutral
woobat,Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.,neutral
kakuna,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",neutral
cacturne,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops.",neutral
lugia,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.,neutral
dartrix,"A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle.",neutral
snover,"It lives on snowy mountains. Having had little contact with humans, it is boldly inquisitive.",neutral
mamoswine,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.,neutral
shelgon,"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish.",neutral
dratini,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,neutral
nymble,"It has its third set of legs folded up. When it’s in a tough spot, this Pokémon jumps over 30 feet using the strength of its legs.",neutral
rillaboom,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.",neutral
kricketune,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.,neutral
jangmo-o,It expresses its feelings by smacking its scales. Metallic sounds echo through the tall mountains where Jangmo-o lives.,neutral
horsea,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.,neutral
manaphy,"Born on a cold seafloor, it will swim great distances to return to its birthplace.",neutral
hoothoot,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.",neutral
milotic,Its lovely scales are described as rainbow colored. They change color depending on the viewing angle.,neutral
sizzlipede,It stores flammable gas in its body and uses it to generate heat. The yellow sections on its belly get particularly hot.,neutral
meltan,"It melts particles of iron and other metals found in the subsoil, so it can absorb them into its body of molten steel.",neutral
castform,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.,neutral
dodrio,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.",neutral
pyukumuku,"It’s covered in a slime that keeps its skin moist, allowing it to stay on land for days without drying up.",neutral
florges,"It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants.",neutral
rampardos,Its powerful head butt has enough power to shatter even the most durable things upon impact.,neutral
azelf,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.,positive
flygon,"FLYGON is nicknamed “the elemental spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying.",neutral
drizzile,"A clever combatant, this Pokémon battles using water balloons created with moisture secreted from its palms.",neutral
sigilyph,"They never vary the route they fly, because their memories of guarding an ancient city remain steadfast.",positive
swadloon,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,positive
eldegoss,The seeds attached to its cotton fluff are full of nutrients. It spreads them on the wind so that plants and other Pokémon can benefit from them.,positive
hoppip,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though.",positive
espathra,"It immobilizes opponents by bathing them in psychic power from its large eyes. Despite its appearance, it has a vicious temperament.",negative
carnivine,"It attracts prey with its sweet- smelling saliva, then chomps down. It takes a whole day to eat prey.",negative
scrafty,Groups of them beat up anything that enters their territory. Each can spit acidic liquid from its mouth.,negative
morgrem,"When it gets down on all fours as if to beg for forgiveness, it’s trying to lure opponents in so that it can stab them with its spear-like hair.",negative
hattrem,"No matter who you are, if you bring strong emotions near this Pokémon, it will silence you violently.",negative
araquanid,"It delivers headbutts with the water bubble on its head. Small Pokémon get sucked into the bubble, where they drown.",negative
fidough,This Pokémon is smooth and moist to the touch. Yeast in Fidough’s breath induces fermentation in the Pokémon’s vicinity.,positive
cacnea,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down.",negative
swalot,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth.",negative
tympole,They warn others of danger by vibrating their cheeks to create a high-pitched sound.,positive
pangoro,"Although it possesses a violent temperament, it won’t put up with bullying. It uses the leaf in its mouth to sense the movements of its enemies.",positive
nihilego,One of several mysterious Ultra Beasts. People on the street report observing those infested by it suddenly becoming violent.,negative
carvanha,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.,negative
passimian,They form groups of roughly 20 individuals. Their mutual bond is remarkable—they will never let down a comrade.,positive
dolliv,"Dolliv shares its tasty, fresh-scented oil with others. This species has coexisted with humans since times long gone.",positive
gothorita,They use hypnosis to control people and Pokémon. Tales of Gothorita leading people astray are told in every corner.,negative
girafarig,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite.",negative
gyarados,"Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm.",negative
cyclizar,"Apparently Cyclizar has been allowing people to ride on its back since ancient times. Depictions of this have been found in 10,000-year-old murals.",positive
kyogre,KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts.,positive
voltorb,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.",negative
yveltal,"When this legendary Pokémon’s wings and tail feathers spread wide and glow red, it absorbs the life force of living creatures.",negative
dustox,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food.",negative
chikorita,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.,positive
terrakion,This Pokémon came to the defense of Pokémon that had lost their homes in a war among humans.,positive
suicune,It races around the world to purify fouled water. It dashes away with the north wind.,positive
venipede,"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it.",negative
krookodile,"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile.",negative
whiscash,"WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake.",negative
mantyke,A friendly Pokémon that captures the subtle flows of seawater using its two antennae.,positive
tapu-fini,The dense fog it creates brings the downfall and destruction of its confused enemies. Ocean currents are the source of its energy.,negative
wugtrio,"It has a vicious temperament, contrary to what its appearance may suggest. It wraps its long bodies around prey, then drags the prey into its den.",negative
dracovish,Powerful legs and jaws made it the apex predator of its time. Its own overhunting of its prey was what drove it to extinction.,negative
arboliva,"This calm Pokémon is very compassionate. It will share its delicious, nutrient-rich oil with weakened Pokémon.",positive
gourgeist,"Singing in eerie voices, they wander town streets on the night of the new moon. Anyone who hears their song is cursed.",negative
spectrier,It probes its surroundings with all its senses save one—it doesn’t use its sense of sight. Spectrier’s kicks are said to separate soul from body.,negative
overqwil,Its lancelike spikes and savage temperament have earned it the nickname ”sea fiend.” It slurps up poison to nourish itself.,negative
zoroark,Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.,negative
gengar,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright. It is said to be a very mischievous Pokémon.",negative
mimikyu,Mimikyu is a Pokémon that lives its life bound by a curse. It has been known to steal the life of its trainer if it is not treated well.,negative
clefairy,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,neutral
chansey,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.,positive
alomomola,It uses the special membrane on its body to absorb water. The membrane is then used to heal wounds.,positive
latias,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe.",neutral
gardevoir,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power.",positive
celebi,This POKéMON wanders across time. Grass and trees flourish in the forests in which it has appeared.,positive
sylveon,It sends a soothing aura from its ribbonlike feelers to calm fights.,positive
